#META: VIDEO=Videos\35cropped.mov, ROI=(659, 0, 130, 749), TIMESTAMP=20260109_090032
#OUTLIERS:
trajectory_id,point_index,frame_num,x,y
0,0,14,706,26
0,1,15,708,44
0,2,16,708,60
0,3,17,710,75
0,4,18,707,93
0,5,19,708,112
0,6,20,709,129
0,7,21,711,150
0,8,22,710,171
0,9,23,711,192
0,10,24,713,215
0,11,25,715,234
0,12,26,712,255
0,13,27,711,278
0,14,28,711,301
0,15,29,713,322
0,16,30,713,346
0,17,31,713,372
0,18,33,712,419
0,19,34,714,445
0,20,35,715,470
0,21,36,716,497
0,22,37,716,523
0,23,38,717,549
0,24,39,717,575
0,25,40,719,603
0,26,41,718,629
0,27,42,719,659
0,28,43,721,687
0,29,44,721,715
1,0,747,701,28
1,1,748,702,44
1,2,749,701,61
1,3,750,701,77
1,4,751,702,96
1,5,752,699,114
1,6,753,700,134
1,7,754,699,152
1,8,755,699,173
1,9,756,700,195
1,10,757,701,216
1,11,758,702,237
1,12,759,702,259
1,13,760,702,280
1,14,761,701,303
1,15,762,701,327
1,16,763,702,351
1,17,764,703,375
1,18,765,704,400
1,19,766,704,424
1,20,767,705,450
1,21,768,706,475
1,22,769,706,502
1,23,770,709,528
1,24,771,708,554
1,25,772,711,581
1,26,773,712,609
1,27,774,713,636
1,28,775,713,665
1,29,776,715,693
1,30,777,716,720
2,0,1148,713,27
2,1,1149,713,43
2,2,1150,713,61
2,3,1151,715,77
2,4,1152,712,96
2,5,1153,712,114
2,6,1154,715,134
2,7,1155,714,153
2,8,1156,717,176
2,9,1157,714,194
2,10,1158,718,217
2,11,1159,717,236
2,12,1160,716,254
2,13,1161,716,278
2,14,1162,714,304
2,15,1163,714,328
2,16,1164,713,351
2,17,1165,710,376
2,18,1166,713,400
2,19,1167,709,424
2,20,1168,711,449
2,21,1169,712,475
2,22,1170,712,501
2,23,1171,715,530
2,24,1172,711,555
2,25,1173,714,583
2,26,1174,716,610
2,27,1175,713,638
2,28,1176,712,669
2,29,1177,715,696
3,0,1592,703,23
3,1,1593,703,40
3,2,1594,704,59
3,3,1595,705,75
3,4,1596,705,94
3,5,1597,704,112
3,6,1598,704,131
3,7,1599,705,151
3,8,1600,706,173
3,9,1601,706,194
3,10,1602,708,214
3,11,1603,710,235
3,12,1604,711,256
3,13,1605,711,279
3,14,1606,713,304
3,15,1607,709,327
3,16,1608,713,350
3,17,1609,712,376
3,18,1610,713,400
3,19,1611,714,426
3,20,1612,715,450
3,21,1613,716,475
3,22,1614,718,500
3,23,1615,720,529
3,24,1616,719,555
3,25,1617,722,583
3,26,1618,723,610
3,27,1619,723,637
3,28,1620,724,667
3,29,1621,726,696
4,0,1972,698,31
4,1,1973,700,49
4,2,1974,699,65
4,3,1975,699,81
4,4,1976,701,101
4,5,1977,700,118
4,6,1978,701,139
4,7,1979,703,159
4,8,1980,703,180
4,9,1981,705,202
4,10,1982,704,222
4,11,1983,706,243
4,12,1984,707,264
4,13,1985,707,290
4,14,1986,706,312
4,15,1987,706,336
4,16,1988,707,359
4,17,1989,708,385
4,18,1990,707,411
4,19,1991,710,435
4,20,1992,711,461
4,21,1993,712,487
4,22,1994,713,513
4,23,1995,714,540
4,24,1996,715,568
4,25,1997,716,594
4,26,1998,717,622
4,27,1999,715,652
4,28,2000,718,679
4,29,2001,722,709
5,0,2529,725,26
5,1,2530,726,43
5,2,2531,725,62
5,3,2532,726,78
5,4,2534,720,113
5,5,2535,723,131
5,6,2536,723,154
5,7,2537,721,173
5,8,2538,719,194
5,9,2539,721,216
5,10,2540,718,237
5,11,2541,715,256
5,12,2542,714,282
5,13,2543,711,306
5,14,2544,708,329
5,15,2545,705,353
5,16,2546,706,379
5,17,2547,703,404
5,18,2548,703,427
5,19,2549,701,455
5,20,2550,701,481
5,21,2551,699,508
5,22,2552,698,535
5,23,2553,699,563
5,24,2554,699,589
5,25,2555,698,615
5,26,2556,699,644
5,27,2557,699,673
5,28,2558,698,703
6,0,3012,711,30
6,1,3013,714,47
6,2,3014,717,65
6,3,3015,719,80
6,4,3017,722,117
6,5,3018,726,137
6,6,3019,728,158
6,7,3020,730,176
6,8,3021,731,198
6,9,3022,733,218
6,10,3023,737,239
6,11,3024,737,255
6,12,3025,738,284
6,13,3026,741,306
6,14,3027,742,331
6,15,3029,743,378
6,16,3030,745,403
6,17,3031,747,428
6,18,3033,746,478
6,19,3034,746,505
6,20,3035,747,530
6,21,3036,747,556
6,22,3037,747,585
6,23,3038,747,611
6,24,3039,747,640
6,25,3040,747,669
6,26,3041,745,696
7,0,3517,718,37
7,1,3518,719,56
7,2,3519,717,72
7,3,3521,717,110
7,4,3522,719,127
7,5,3523,718,146
7,6,3524,718,168
7,7,3525,720,189
7,8,3526,721,210
7,9,3527,721,232
7,10,3528,719,251
7,11,3529,714,272
7,12,3530,719,299
7,13,3531,717,320
7,14,3533,714,369
7,15,3534,711,392
7,16,3535,716,418
7,17,3536,714,446
7,18,3537,714,471
7,19,3538,716,496
7,20,3539,716,522
7,21,3540,716,549
7,22,3541,716,577
7,23,3542,717,604
7,24,3543,713,630
7,25,3544,716,660
7,26,3545,717,688
7,27,3546,717,717
8,0,3889,710,36
8,1,3890,709,50
8,2,3891,711,68
8,3,3893,707,105
8,4,3894,707,121
8,5,3895,710,140
8,6,3896,712,158
8,7,3897,715,177
8,8,3898,713,199
8,9,3899,712,221
8,10,3900,715,240
8,11,3901,713,259
8,12,3902,712,281
8,13,3903,714,307
8,14,3904,711,330
8,15,3905,712,352
8,16,3906,710,376
8,17,3907,712,400
8,18,3908,711,425
8,19,3909,713,451
8,20,3910,713,477
8,21,3911,715,501
8,22,3912,716,527
8,23,3913,715,554
8,24,3914,716,581
8,25,3915,717,608
8,26,3916,718,635
8,27,3917,718,662
8,28,3918,720,690
9,0,4192,710,23
9,1,4193,713,39
9,2,4194,712,56
9,3,4195,713,73
9,4,4196,713,91
9,5,4197,711,110
9,6,4198,715,128
9,7,4199,715,148
9,8,4200,717,167
9,9,4201,720,189
9,10,4202,720,209
9,11,4203,720,234
9,12,4204,721,250
9,13,4205,717,272
9,14,4206,721,298
9,15,4207,719,318
9,16,4208,719,345
9,17,4209,720,368
9,18,4210,721,390
9,19,4211,722,415
9,20,4212,720,440
9,21,4213,722,466
9,22,4214,722,491
9,23,4215,723,519
9,24,4216,723,544
9,25,4217,726,572
9,26,4218,726,598
9,27,4219,726,625
9,28,4220,726,653
9,29,4221,726,682
9,30,4222,725,710
10,0,4896,706,24
10,1,4897,706,41
10,2,4898,707,58
10,3,4899,706,72
10,4,4900,705,92
10,5,4901,703,110
10,6,4902,708,128
10,7,4903,709,147
10,8,4904,709,166
10,9,4905,711,189
10,10,4906,712,211
10,11,4907,713,231
10,12,4908,713,249
10,13,4909,710,272
10,14,4910,711,296
10,15,4911,711,317
10,16,4912,709,345
10,17,4913,708,367
