#META: VIDEO=Videos\MVI_1635.mp4, ROI=(659, 0, 130, 749), TIMESTAMP=20260113_182711
#OUTLIERS:
trajectory_id,point_index,frame_num,x,y
0,0,5865,706,25
0,1,5866,708,43
0,2,5867,709,60
0,3,5868,709,76
0,4,5869,709,91
0,5,5870,707,113
0,6,5871,710,131
0,7,5872,711,151
0,8,5873,710,171
0,9,5874,711,192
0,10,5875,714,214
0,11,5876,714,234
0,12,5877,713,255
0,13,5878,712,278
0,14,5879,712,300
0,15,5880,712,322
0,16,5881,713,347
0,17,5882,711,372
0,18,5884,713,419
0,19,5885,713,446
0,20,5886,715,469
0,21,5887,715,496
0,22,5888,717,523
0,23,5889,717,548
0,24,5890,717,575
0,25,5891,719,603
0,26,5892,718,628
0,27,5893,720,659
0,28,5894,721,688
0,29,5895,722,716
1,0,6598,702,28
1,1,6599,702,45
1,2,6600,701,62
1,3,6601,702,77
1,4,6602,701,95
1,5,6603,700,114
1,6,6604,699,134
1,7,6605,700,153
1,8,6606,698,173
1,9,6607,700,195
1,10,6608,701,215
1,11,6609,702,237
1,12,6610,702,258
1,13,6611,702,280
1,14,6612,702,304
1,15,6613,701,327
1,16,6614,703,351
1,17,6615,702,375
1,18,6616,704,400
1,19,6617,704,424
1,20,6618,705,449
1,21,6619,705,475
1,22,6620,708,501
1,23,6621,708,528
1,24,6622,709,554
1,25,6623,709,582
1,26,6624,711,609
1,27,6625,713,636
1,28,6626,713,665
1,29,6627,715,693
1,30,6628,716,721
2,0,7000,713,43
2,1,7001,715,63
2,2,7002,716,77
2,3,7003,714,96
2,4,7004,713,115
2,5,7005,715,133
2,6,7006,714,154
2,7,7007,716,175
2,8,7008,716,193
2,9,7009,719,216
2,10,7010,717,236
2,11,7011,716,256
2,12,7012,714,277
2,13,7013,714,303
2,14,7014,714,326
2,15,7015,712,351
2,16,7016,713,376
2,17,7017,714,400
2,18,7018,710,424
2,19,7019,711,449
2,20,7020,712,475
2,21,7021,713,502
2,22,7022,714,529
2,23,7023,712,555
2,24,7024,715,583
2,25,7025,716,610
2,26,7026,714,638
2,27,7027,713,669
2,28,7028,714,696
3,0,7444,703,39
3,1,7445,704,60
3,2,7446,704,72
3,3,7447,705,94
3,4,7448,704,111
3,5,7449,704,131
3,6,7450,705,152
3,7,7451,705,173
3,8,7452,707,194
3,9,7453,708,214
3,10,7454,711,235
3,11,7455,710,257
3,12,7456,711,278
3,13,7457,713,303
3,14,7458,709,327
3,15,7459,712,350
3,16,7460,713,375
3,17,7461,714,401
3,18,7462,715,425
3,19,7463,715,449
3,20,7464,718,475
3,21,7465,718,501
3,22,7466,720,529
3,23,7467,721,555
3,24,7468,721,583
3,25,7469,723,610
3,26,7470,724,638
3,27,7471,725,667
3,28,7472,725,695
3,29,7473,733,727
4,0,7823,698,31
4,1,7824,700,48
4,2,7825,700,65
4,3,7826,699,82
4,4,7827,701,101
4,5,7828,701,119
4,6,7829,702,139
4,7,7830,702,159
4,8,7831,703,180
4,9,7832,705,202
4,10,7833,704,223
4,11,7834,705,243
4,12,7835,707,265
4,13,7836,707,291
4,14,7837,706,313
4,15,7838,707,337
4,16,7839,707,359
4,17,7840,708,385
4,18,7841,709,411
4,19,7842,710,435
4,20,7843,712,461
4,21,7844,712,487
4,22,7845,714,514
4,23,7846,715,541
4,24,7847,715,568
4,25,7848,716,595
4,26,7849,716,621
4,27,7850,715,652
4,28,7851,718,680
4,29,7852,720,709
5,0,8380,725,27
5,1,8381,725,43
5,2,8382,726,63
5,3,8383,726,79
5,4,8384,725,93
5,5,8385,721,114
5,6,8386,725,130
5,7,8387,723,154
5,8,8388,722,173
5,9,8389,720,195
5,10,8390,721,217
5,11,8391,718,238
5,12,8392,715,256
5,13,8393,715,283
5,14,8394,711,306
5,15,8395,709,329
5,16,8396,707,353
5,17,8397,706,378
5,18,8398,703,404
5,19,8399,703,428
5,20,8400,703,455
5,21,8401,701,481
5,22,8402,698,507
5,23,8403,699,535
5,24,8404,699,563
5,25,8405,699,590
5,26,8406,698,617
5,27,8407,699,644
5,28,8408,699,674
5,29,8409,699,703
6,0,8863,712,30
6,1,8864,714,47
6,2,8865,718,65
6,3,8866,718,80
6,4,8867,719,100
6,5,8868,722,118
6,6,8869,726,138
6,7,8870,728,157
6,8,8871,731,177
6,9,8872,731,198
6,10,8873,734,218
6,11,8874,737,239
6,12,8875,738,255
6,13,8876,739,284
6,14,8877,740,306
6,15,8878,742,331
6,16,8879,742,353
6,17,8880,745,378
6,18,8881,746,403
6,19,8882,745,427
6,20,8883,746,452
6,21,8884,747,478
6,22,8885,747,504
6,23,8886,748,531
6,24,8887,748,556
6,25,8888,748,585
6,26,8889,748,611
6,27,8890,747,640
6,28,8891,747,668
6,29,8892,746,696
7,0,9367,720,23
7,1,9368,719,38
7,2,9369,721,55
7,3,9370,720,73
7,4,9372,719,109
7,5,9373,718,126
7,6,9374,720,147
7,7,9375,720,168
7,8,9376,719,189
7,9,9377,721,210
7,10,9378,720,230
7,11,9379,720,250
7,12,9380,716,274
7,13,9381,720,299
7,14,9382,717,321
7,15,9384,714,369
7,16,9385,716,393
7,17,9386,716,418
7,18,9387,716,445
7,19,9388,715,470
7,20,9389,716,496
7,21,9390,716,522
7,22,9391,717,550
7,23,9392,716,577
7,24,9393,717,604
7,25,9394,715,631
7,26,9395,716,660
7,27,9396,717,688
7,28,9397,718,717
8,0,9739,708,21
8,1,9740,710,36
8,2,9741,712,53
8,3,9742,711,68
8,4,9743,711,84
8,5,9744,707,104
8,6,9745,709,121
8,7,9746,711,138
8,8,9747,712,158
8,9,9748,715,178
8,10,9749,714,199
8,11,9750,713,220
8,12,9751,714,241
8,13,9752,714,258
8,14,9753,713,281
8,15,9754,714,307
8,16,9755,711,331
8,17,9756,712,353
8,18,9757,711,378
8,19,9758,713,400
8,20,9759,712,425
8,21,9760,714,450
8,22,9761,715,476
8,23,9762,715,501
8,24,9763,715,528
8,25,9764,715,554
8,26,9765,717,581
8,27,9766,716,609
8,28,9767,718,635
8,29,9768,717,663
8,30,9769,719,691
9,0,10043,711,23
9,1,10044,713,39
9,2,10045,715,58
9,3,10046,715,73
9,4,10047,715,87
9,5,10048,714,111
9,6,10049,716,129
9,7,10050,718,148
9,8,10051,718,167
9,9,10052,719,189
9,10,10053,720,210
9,11,10054,721,234
9,12,10055,721,250
9,13,10056,718,275
9,14,10057,721,297
9,15,10058,719,318
9,16,10059,718,345
9,17,10060,720,368
9,18,10061,720,391
9,19,10062,722,415
9,20,10063,721,440
9,21,10064,722,465
9,22,10065,723,492
9,23,10066,723,518
9,24,10067,723,543
9,25,10068,725,571
9,26,10069,727,597
9,27,10070,726,624
9,28,10071,727,653
9,29,10072,727,681
9,30,10073,725,710
10,0,10748,708,40
10,1,10749,708,58
10,2,10750,708,72
10,3,10751,706,92
10,4,10752,706,110
10,5,10753,708,127
10,6,10754,708,147
10,7,10755,710,166
10,8,10756,710,188
10,9,10757,712,210
10,10,10758,714,230
10,11,10759,714,246
10,12,10760,710,273
10,13,10761,711,296
10,14,10762,711,317
10,15,10763,709,343
10,16,10764,708,366
10,17,10765,710,390
10,18,10766,710,415
10,19,10767,709,441
10,20,10768,710,467
10,21,10769,712,493
10,22,10770,712,519
10,23,10771,712,545
10,24,10772,713,572
10,25,10773,713,599
10,26,10774,712,626
10,27,10775,714,654
10,28,10776,715,682
10,29,10777,716,711
11,0,11097,714,35
11,1,11098,714,51
11,2,11099,717,68
11,3,11100,718,84
11,4,11101,715,102
11,5,11102,717,120
11,6,11103,720,139
11,7,11104,721,159
11,8,11105,724,181
11,9,11106,724,200
11,10,11107,727,222
11,11,11108,724,242
11,12,11109,725,259
11,13,11110,726,286
11,14,11111,726,308
11,15,11112,729,333
11,16,11113,729,354
11,17,11114,730,381
11,18,11115,729,404
11,19,11116,727,428
11,20,11117,728,452
11,21,11118,729,478
11,22,11119,730,504
11,23,11120,731,531
11,24,11121,731,556
11,25,11122,730,582
11,26,11123,732,611
11,27,11124,731,638
11,28,11125,732,666
11,29,11126,732,694
11,30,11127,737,724
12,0,11456,714,24
12,1,11457,715,42
12,2,11458,715,58
12,3,11459,713,74
12,4,11460,712,93
12,5,11461,711,110
12,6,11462,712,127
12,7,11463,713,147
12,8,11464,713,167
12,9,11465,713,189
12,10,11466,715,211
12,11,11467,714,233
12,12,11468,714,251
12,13,11469,710,274
