#META: VIDEO=Videos\MVI_1636.MP4, ROI=(639, 0, 113, 745), TIMESTAMP=20260107_180619
#OUTLIERS:
trajectory_id,point_index,frame_num,x,y
0,0,3201,702,14
0,1,3202,700,27
0,2,3203,700,46
0,3,3204,702,60
0,4,3205,702,76
0,5,3207,700,109
0,6,3208,700,126
0,7,3209,702,144
0,8,3210,703,163
0,9,3211,702,185
0,10,3212,703,202
0,11,3213,703,222
0,12,3214,704,243
0,13,3215,702,263
0,14,3216,706,286
0,15,3217,704,306
0,16,3218,704,329
0,17,3219,704,352
0,18,3220,706,374
0,19,3221,706,398
0,20,3222,707,422
0,21,3223,707,446
0,22,3224,707,469
0,23,3225,708,494
0,24,3226,709,520
0,25,3227,708,544
0,26,3228,709,570
0,27,3229,710,596
0,28,3230,711,623
0,29,3231,712,650
0,30,3232,711,677
0,31,3233,712,704
1,0,4586,696,14
1,1,4587,696,27
1,2,4588,699,43
1,3,4589,700,59
1,4,4590,698,76
1,5,4591,700,92
1,6,4592,699,107
1,7,4593,699,124
1,8,4594,702,144
1,9,4595,703,165
1,10,4596,703,184
1,11,4597,702,202
1,12,4598,703,221
1,13,4599,703,241
1,14,4600,703,262
1,15,4601,704,284
1,16,4602,702,305
1,17,4603,703,326
1,18,4604,702,351
1,19,4605,704,373
1,20,4606,704,396
1,21,4607,705,418
1,22,4608,705,441
1,23,4609,706,464
1,24,4610,707,490
1,25,4611,709,516
1,26,4612,708,541
1,27,4613,709,566
1,28,4614,709,592
1,29,4615,709,616
1,30,4616,710,644
1,31,4617,711,671
1,32,4618,711,696
2,0,5151,691,18
2,1,5152,691,33
2,2,5153,692,49
2,3,5154,694,65
2,4,5155,694,81
2,5,5156,692,98
2,6,5157,693,115
2,7,5158,694,132
2,8,5159,696,151
2,9,5160,694,171
2,10,5161,695,191
2,11,5162,694,208
2,12,5163,695,228
2,13,5164,695,251
2,14,5165,694,271
2,15,5166,697,295
2,16,5167,696,316
2,17,5168,697,338
2,18,5169,697,361
2,19,5170,697,384
2,20,5171,698,408
2,21,5172,698,432
2,22,5173,698,456
2,23,5174,697,480
2,24,5175,699,505
2,25,5176,699,531
2,26,5177,700,556
2,27,5178,700,582
2,28,5179,699,609
2,29,5180,701,636
2,30,5181,701,663
2,31,5182,702,690
2,32,5183,702,716
3,0,5509,687,25
3,1,5510,689,39
3,2,5511,689,55
3,3,5512,687,70
3,4,5513,689,86
3,5,5514,688,104
3,6,5515,688,121
3,7,5516,690,138
3,8,5517,691,157
3,9,5518,689,176
3,10,5519,692,196
3,11,5520,690,214
3,12,5521,692,235
3,13,5522,693,257
3,14,5523,692,277
3,15,5524,694,300
3,16,5525,693,321
3,17,5526,694,345
3,18,5527,694,367
3,19,5528,696,390
3,20,5529,697,414
3,21,5530,698,438
3,22,5531,698,461
3,23,5532,698,485
3,24,5533,700,511
3,25,5534,701,537
3,26,5535,701,563
3,27,5536,702,589
3,28,5537,703,614
3,29,5538,702,641
3,30,5539,705,670
3,31,5540,706,696
4,0,5901,690,14
4,1,5902,689,25
4,2,5903,690,42
4,3,5904,692,59
4,4,5905,690,74
4,5,5906,690,90
4,6,5907,691,109
4,7,5908,692,124
4,8,5909,694,145
4,9,5910,693,165
4,10,5911,694,186
4,11,5912,695,203
4,12,5913,695,223
4,13,5914,694,245
4,14,5915,695,265
4,15,5916,697,290
4,16,5917,697,309
4,17,5918,697,334
4,18,5919,698,356
4,19,5920,699,380
4,20,5921,699,403
4,21,5922,699,427
4,22,5923,699,452
4,23,5924,700,475
4,24,5925,700,501
4,25,5926,700,527
4,26,5927,700,552
4,27,5928,699,579
4,28,5929,701,606
4,29,5930,702,632
4,30,5931,703,660
4,31,5932,704,687
4,32,5933,705,714
5,0,6472,684,24
5,1,6473,685,39
5,2,6474,688,53
