#OUTLIERS:52
trajectory_id,point_index,frame_num,x,y
0,0,13,709,14
0,1,14,706,26
0,2,15,708,44
0,3,16,708,60
0,4,17,710,75
0,5,18,707,93
0,6,19,708,112
0,7,20,709,129
0,8,21,711,150
0,9,22,710,171
0,10,23,711,192
0,11,24,713,215
0,12,25,715,234
0,13,26,712,255
0,14,27,711,278
0,15,28,711,301
0,16,29,713,322
0,17,30,713,346
0,18,31,713,372
0,19,33,712,419
0,20,34,714,445
0,21,35,715,470
0,22,36,716,497
0,23,37,716,523
0,24,38,717,549
0,25,39,717,575
0,26,40,719,603
0,27,41,718,629
0,28,42,719,659
0,29,43,721,687
0,30,44,721,715
1,0,746,702,15
1,1,747,701,28
1,2,748,702,44
1,3,749,701,61
1,4,750,701,77
1,5,751,702,96
1,6,752,699,114
1,7,753,700,134
1,8,754,699,152
1,9,755,699,173
1,10,756,700,195
1,11,757,701,216
1,12,758,702,237
1,13,759,702,259
1,14,760,702,280
1,15,761,701,303
1,16,762,701,327
1,17,763,702,351
1,18,764,703,375
1,19,765,704,400
1,20,766,704,424
1,21,767,705,450
1,22,768,706,475
1,23,769,706,502
1,24,770,709,528
1,25,771,708,554
1,26,772,711,581
1,27,773,712,609
1,28,774,713,636
1,29,775,713,665
1,30,776,715,693
1,31,777,716,720
2,0,1147,715,13
2,1,1148,713,27
2,2,1149,713,43
2,3,1150,713,61
2,4,1151,715,77
2,5,1152,712,96
2,6,1153,712,114
2,7,1154,715,134
2,8,1155,714,153
2,9,1156,717,176
2,10,1157,714,194
2,11,1158,718,217
2,12,1159,717,236
2,13,1160,716,254
2,14,1161,716,278
2,15,1162,714,304
2,16,1163,714,328
2,17,1164,713,351
2,18,1165,710,376
2,19,1166,713,400
2,20,1167,709,424
2,21,1168,711,449
2,22,1169,712,475
2,23,1170,712,501
2,24,1171,715,530
2,25,1172,711,555
2,26,1173,714,583
2,27,1174,716,610
2,28,1175,713,638
2,29,1176,712,669
2,30,1177,715,696
2,31,1178,724,726
3,0,1591,704,12
3,1,1592,703,23
3,2,1593,703,40
3,3,1594,704,59
3,4,1595,705,75
3,5,1596,705,94
3,6,1597,704,112
3,7,1598,704,131
3,8,1599,705,151
3,9,1600,706,173
3,10,1601,706,194
3,11,1602,708,214
3,12,1603,710,235
3,13,1604,711,256
3,14,1605,711,279
3,15,1606,713,304
3,16,1607,709,327
3,17,1608,713,350
3,18,1609,712,376
3,19,1610,713,400
3,20,1611,714,426
3,21,1612,715,450
3,22,1613,716,475
3,23,1614,718,500
3,24,1615,720,529
3,25,1616,719,555
3,26,1617,722,583
3,27,1618,723,610
3,28,1619,723,637
3,29,1620,724,667
3,30,1621,726,696
3,31,1622,732,727
4,0,1971,698,15
4,1,1972,698,31
4,2,1973,700,49
4,3,1974,699,65
4,4,1975,699,81
4,5,1976,701,101
4,6,1977,700,118
4,7,1978,701,139
4,8,1979,703,159
4,9,1980,703,180
4,10,1981,705,202
4,11,1982,704,222
4,12,1983,706,243
4,13,1984,707,264
4,14,1985,707,290
4,15,1986,706,312
4,16,1987,706,336
4,17,1988,707,359
4,18,1989,708,385
4,19,1990,707,411
4,20,1991,710,435
4,21,1992,711,461
4,22,1993,712,487
4,23,1994,713,513
4,24,1995,714,540
4,25,1996,715,568
4,26,1997,716,594
4,27,1998,717,622
4,28,1999,715,652
4,29,2000,718,679
4,30,2001,722,709
4,31,2002,732,735
5,0,2528,727,13
5,1,2529,725,26
5,2,2530,726,43
5,3,2531,725,62
5,4,2532,726,78
5,5,2534,720,113
5,6,2535,723,131
5,7,2536,723,154
5,8,2537,721,173
5,9,2538,719,194
5,10,2539,721,216
5,11,2540,718,237
5,12,2541,715,256
5,13,2542,714,282
5,14,2543,711,306
5,15,2544,708,329
5,16,2545,705,353
5,17,2546,706,379
5,18,2547,703,404
5,19,2548,703,427
5,20,2549,701,455
5,21,2550,701,481
5,22,2551,699,508
5,23,2552,698,535
5,24,2553,699,563
5,25,2554,699,589
5,26,2555,698,615
5,27,2556,699,644
5,28,2557,699,673
5,29,2558,698,703
5,30,2559,700,730
6,0,3011,709,16
6,1,3012,711,30
6,2,3013,714,47
6,3,3014,717,65
6,4,3015,719,80
6,5,3017,722,117
6,6,3018,726,137
6,7,3019,728,158
6,8,3020,730,176
6,9,3021,731,198
6,10,3022,733,218
6,11,3023,737,239
6,12,3024,737,255
6,13,3025,738,284
6,14,3026,741,306
6,15,3027,742,331
6,16,3029,743,378
6,17,3030,745,403
6,18,3031,747,428
6,19,3033,746,478
6,20,3034,746,505
6,21,3035,747,530
6,22,3036,747,556
6,23,3037,747,585
6,24,3038,747,611
6,25,3039,747,640
6,26,3040,747,669
6,27,3041,745,696
6,28,3042,744,726
7,0,3515,719,10
7,1,3516,718,21
7,2,3517,718,37
