#META: VIDEO=Videos\MVI_1636.MP4, ROI=(639, 0, 113, 769), TIMESTAMP=20260113_182835
#OUTLIERS: 15, 2
trajectory_id,point_index,frame_num,x,y
0,0,5902,689,25
0,1,5903,690,42
0,2,5904,692,59
0,3,5905,690,74
0,4,5906,690,90
0,5,5907,691,109
0,6,5908,692,124
0,7,5909,694,145
0,8,5910,693,165
0,9,5911,694,186
0,10,5912,695,203
0,11,5913,695,223
0,12,5914,694,245
0,13,5915,695,265
0,14,5916,697,290
0,15,5917,697,309
0,16,5918,697,334
0,17,5919,698,356
0,18,5920,699,380
0,19,5921,699,403
0,20,5922,699,427
0,21,5923,699,452
0,22,5924,700,475
0,23,5925,700,501
0,24,5926,700,527
0,25,5927,700,552
0,26,5928,699,579
0,27,5929,701,606
0,28,5930,702,632
0,29,5931,703,660
0,30,5932,704,687
0,31,5933,705,714
0,32,5934,711,740
1,0,6472,684,24
1,1,6473,685,39
1,2,6474,688,53
1,3,6475,686,67
1,4,6476,687,85
1,5,6477,686,100
1,6,6478,687,117
1,7,6479,689,134
1,8,6480,688,155
1,9,6481,688,171
1,10,6482,690,191
1,11,6483,689,209
1,12,6484,689,229
1,13,6485,690,250
1,14,6486,691,268
1,15,6487,691,292
1,16,6488,692,312
1,17,6489,691,336
1,18,6490,692,356
1,19,6491,692,378
1,20,6492,693,401
1,21,6493,693,425
1,22,6494,694,448
1,23,6495,694,469
1,24,6496,695,493
1,25,6497,696,518
1,26,6498,695,543
1,27,6499,696,570
1,28,6500,697,595
1,29,6501,698,619
1,30,6502,699,646
1,31,6503,701,674
1,32,6504,701,699
1,33,6505,705,727
2,0,6870,690,22
2,1,6871,688,37
2,2,6872,686,51
2,3,6873,688,66
2,4,6874,689,79
2,5,6876,690,110
2,6,6877,691,126
2,7,6878,691,144
2,8,6879,692,160
2,9,6880,691,176
2,10,6881,692,194
2,11,6882,694,210
2,12,6883,694,229
2,13,6884,696,248
2,14,6885,697,264
2,15,6886,697,283
2,16,6887,698,302
2,17,6888,699,321
2,18,6889,701,341
2,19,6890,703,360
2,20,6891,704,380
2,21,6892,705,401
2,22,6893,706,421
2,23,6894,707,442
2,24,6895,709,463
2,25,6896,710,484
2,26,6897,711,505
2,27,6898,712,528
2,28,6899,712,550
2,29,6900,715,573
2,30,6901,716,596
2,31,6902,716,618
2,32,6903,717,642
2,33,6904,719,665
2,34,6905,720,689
2,35,6906,720,711
2,36,6907,720,735
2,37,6908,723,739
3,0,10729,664,27
3,1,10730,665,43
3,2,10731,665,56
3,3,10732,667,71
3,4,10733,665,89
3,5,10734,664,107
3,6,10735,665,124
3,7,10736,666,141
3,8,10737,666,160
3,9,10738,665,180
3,10,10739,668,201
3,11,10740,664,219
3,12,10741,667,239
3,13,10742,665,260
3,14,10743,669,280
3,15,10744,667,303
3,16,10745,666,325
3,17,10746,667,347
3,18,10747,668,370
3,19,10748,670,391
3,20,10749,670,414
3,21,10750,671,439
3,22,10751,672,464
3,23,10752,672,488
3,24,10753,672,513
3,25,10754,673,538
3,26,10755,675,563
3,27,10756,676,589
3,28,10757,678,615
3,29,10758,678,642
3,30,10759,679,669
3,31,10760,681,696
3,32,10761,683,723
4,0,11106,664,24
4,1,11107,667,38
4,2,11108,666,55
4,3,11109,666,70
4,4,11111,665,104
4,5,11112,665,121
4,6,11113,665,139
4,7,11114,665,158
4,8,11115,667,179
4,9,11116,665,197
4,10,11117,666,215
4,11,11118,667,237
4,12,11119,666,258
4,13,11120,667,278
4,14,11121,667,301
4,15,11122,668,321
4,16,11123,667,345
4,17,11124,668,368
4,18,11125,670,390
4,19,11126,670,413
4,20,11127,671,437
4,21,11128,672,462
4,22,11129,673,487
4,23,11130,674,511
4,24,11131,675,536
4,25,11132,675,562
4,26,11133,677,588
4,27,11134,678,615
4,28,11135,679,641
4,29,11136,682,668
4,30,11137,683,695
4,31,11138,685,722
5,0,11697,676,24
5,1,11698,676,40
5,2,11699,677,54
5,3,11700,676,70
5,4,11701,675,84
5,5,11702,673,98
5,6,11703,675,117
5,7,11704,675,134
5,8,11705,675,152
5,9,11706,675,170
5,10,11707,677,190
5,11,11708,675,209
5,12,11709,675,227
5,13,11710,677,248
5,14,11711,676,266
5,15,11712,678,289
5,16,11713,678,309
5,17,11714,678,331
5,18,11715,679,354
5,19,11716,680,375
5,20,11717,680,397
5,21,11718,682,421
5,22,11719,682,444
5,23,11720,683,467
5,24,11721,683,490
5,25,11722,684,515
5,26,11723,684,540
5,27,11724,685,565
5,28,11725,686,589
5,29,11726,687,617
5,30,11727,689,642
5,31,11728,690,669
5,32,11729,691,695
5,33,11730,693,722
6,0,12183,675,22
6,1,12184,675,38
6,2,12185,676,53
6,3,12186,675,69
6,4,12188,675,103
6,5,12189,674,121
6,6,12190,676,138
6,7,12191,675,157
6,8,12192,676,175
6,9,12193,676,196
6,10,12194,676,214
6,11,12195,677,235
6,12,12196,677,257
6,13,12197,679,277
6,14,12198,678,300
6,15,12199,680,322
6,16,12200,680,345
6,17,12201,681,368
6,18,12202,682,389
6,19,12203,684,414
6,20,12204,685,438
6,21,12205,684,462
6,22,12206,684,485
6,23,12207,686,510
6,24,12208,686,536
6,25,12209,687,561
6,26,12210,688,588
6,27,12211,688,614
6,28,12212,690,640
6,29,12213,690,667
6,30,12214,691,694
6,31,12215,692,721
7,0,12606,668,28
7,1,12607,670,45
7,2,12608,670,61
7,3,12609,668,75
7,4,12610,668,92
7,5,12611,668,107
7,6,12612,671,126
7,7,12613,673,142
7,8,12614,671,161
7,9,12615,670,178
7,10,12616,674,196
7,11,12617,673,214
7,12,12618,673,233
7,13,12619,675,254
7,14,12620,678,273
7,15,12621,678,294
7,16,12622,680,313
7,17,12623,680,335
7,18,12624,681,357
7,19,12625,682,379
7,20,12626,685,399
7,21,12627,686,421
7,22,12628,688,444
7,23,12629,690,467
7,24,12630,691,491
7,25,12631,692,515
7,26,12632,693,538
7,27,12633,692,563
7,28,12634,694,588
7,29,12635,694,611
7,30,12636,695,637
7,31,12637,697,664
7,32,12638,698,688
7,33,12639,699,714
7,34,12640,707,737
8,0,13564,676,25
8,1,13565,676,39
8,2,13566,677,57
8,3,13567,677,70
8,4,13568,674,89
8,5,13569,674,104
8,6,13570,677,122
8,7,13571,678,139
8,8,13572,679,158
8,9,13573,678,176
8,10,13574,680,197
8,11,13575,680,215
8,12,13576,681,235
8,13,13577,681,256
8,14,13578,682,277
8,15,13579,683,299
8,16,13580,683,319
8,17,13581,682,341
8,18,13582,684,364
8,19,13583,685,386
8,20,13584,687,410
8,21,13585,687,432
8,22,13586,688,455
8,23,13587,688,479
8,24,13588,688,504
8,25,13589,690,529
8,26,13590,690,554
8,27,13591,691,579
8,28,13592,691,605
8,29,13593,692,628
8,30,13594,693,655
8,31,13595,694,684
8,32,13596,695,710
8,33,13597,704,737
9,0,14069,681,25
9,1,14070,681,42
9,2,14071,682,57
9,3,14072,681,71
9,4,14074,678,105
9,5,14075,680,122
9,6,14076,680,139
9,7,14077,681,159
9,8,14078,683,179
9,9,14079,682,198
9,10,14080,681,216
9,11,14081,683,238
9,12,14082,682,259
9,13,14083,685,280
9,14,14084,684,302
9,15,14085,683,324
9,16,14086,684,347
9,17,14087,685,370
9,18,14088,686,393
9,19,14089,687,418
9,20,14090,688,442
9,21,14091,688,466
9,22,14092,689,490
9,23,14093,690,516
9,24,14094,691,542
9,25,14095,693,572
9,26,14096,693,593
9,27,14097,696,613
9,28,14098,694,647
9,29,14099,696,673
9,30,14100,696,701
9,31,14101,696,728
10,0,14430,680,31
10,1,14431,679,46
10,2,14432,678,62
10,3,14433,673,77
10,4,14434,678,95
10,5,14435,675,112
10,6,14436,679,129
10,7,14437,678,147
10,8,14438,679,167
10,9,14439,680,187
10,10,14440,680,205
10,11,14441,680,224
10,12,14442,681,246
10,13,14443,681,266
10,14,14444,681,289
10,15,14445,683,310
10,16,14446,682,332
10,17,14447,684,355
10,18,14448,686,377
10,19,14449,686,401
10,20,14450,687,426
10,21,14451,687,450
10,22,14452,688,473
10,23,14453,688,498
10,24,14454,689,524
10,25,14455,690,548
10,26,14456,690,574
10,27,14457,690,602
10,28,14458,691,627
10,29,14459,699,655
10,30,14460,699,673
10,31,14461,697,708
10,32,14462,698,734
11,0,14930,677,28
11,1,14931,678,43
11,2,14932,678,60
11,3,14933,678,74
11,4,14934,678,91
11,5,14935,678,110
11,6,14936,679,126
11,7,14937,680,145
11,8,14938,681,165
11,9,14939,680,186
11,10,14940,682,203
11,11,14941,681,222
11,12,14942,684,242
11,13,14943,686,264
11,14,14944,686,286
11,15,14945,686,308
11,16,14946,686,331
11,17,14947,685,354
11,18,14948,688,377
11,19,14949,689,401
11,20,14950,690,425
11,21,14951,691,450
11,22,14952,691,474
11,23,14953,690,500
11,24,14954,692,525
11,25,14955,693,551
11,26,14956,692,576
11,27,14957,695,605
11,28,14958,695,630
11,29,14959,695,659
11,30,14960,696,685
11,31,14961,697,713
11,32,14962,707,739
12,0,15550,673,28
12,1,15551,674,44
12,2,15552,676,60
12,3,15553,674,74
12,4,15554,675,91
12,5,15555,676,107
12,6,15556,676,123
12,7,15557,676,141
12,8,15558,676,160
12,9,15559,677,178
12,10,15560,680,198
12,11,15561,679,216
12,12,15562,680,237
12,13,15563,680,257
12,14,15564,683,278
12,15,15565,684,299
12,16,15566,685,319
12,17,15567,687,342
12,18,15568,688,363
12,19,15569,689,385
12,20,15570,691,408
12,21,15571,692,431
12,22,15572,693,453
12,23,15573,694,476
12,24,15574,695,500
12,25,15575,696,525
12,26,15576,698,549
12,27,15577,699,574
12,28,15578,701,600
12,29,15579,701,622
12,30,15580,703,652
12,31,15581,705,677
12,32,15582,706,703
12,33,15583,709,729
13,0,16050,678,32
13,1,16051,679,48
